Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~UTAT_data handling.PrjPcb|ReportField=ProjectFullPath~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\UTAT_data handling.PrjPcb|ReportField=Title~Bill of Materials For Project [UTAT_data handling.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~168|ReportField=ReportTime~2:19:56 PM|ReportField=ReportDate~9/01/2015|ReportField=ReportDateTime~9/01/2015 2:19:56 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/01/2015|ReportField=CurrentTime~2:13:48 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\Top Level.SchDoc|ReportField=DocumentName~Top Level.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/12/2014|ReportField=Organization~|ReportField=ProjectName~UTAT_data handling.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~UTAT_data handling.PrjPcb|ReportField=DataSourceFullPath~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\UTAT_data handling.PrjPcb
PTS645|Digi-Key Part Number CKN9112CT-ND|BP1, BP2, BP3, BP4|PTS645|PTS645|4
Cap Pol3|Polarized Capacitor (Surface Mount), Not sure if this one should be 0805?, Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount), Polarized Capacitor (Surface Mount)|C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C22, C25, C26, C27, C28, C29, C34, C35, C37, C38, C41, C43, C45, C47, C48, C49, C100, C119, C120, C121, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135|0805 Cap|Cap Pol3|51
0805 Cap|0805 MLCC - X7R, 10%|C33, C36, C40, C42|0805 Cap|0805 MLCC - X7R, 10%|4
Blue|Typical RED, GREEN, YELLOW, AMBER GaAs LED NO IDEA WHAT IS GOING ON WITH THE FOOTRPINTS|D2|0805 LED|LED2|1
Amber|Typical RED, GREEN, YELLOW, AMBER GaAs LED. NO IDEA WHAT IS GOING ON WITH THE FOOTPRINTS|D3|0805 LED|LED2|1
Green|So I downloaded the footrpint off the net, but it seems to be dodgy, but for some reason the dims don't make sense|D4|0805 LED|LED2|1
Red|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D5|0805 LED|LED2|1
LM4040A30IDBZR|Precision Micropower Shunt Voltage Reference, 0.1% accuracy, 3 V, 15 ppm / degC, 15 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)|D6|TI-DBZ3_N|LM4040A30IDBZR|1
Header 6|Header, 6-Pin|FTDI|HDR1X6|Header 6|1
MP179P 2.1mm|Digi-Key Part Number CP-002AHPJCT-ND|J1|2.1mm Jack|MP179P 2.1mm|1
